,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
突尼斯,718443,0,691640,25401,0,0.0,,,
塞尔维亚,1263663,0,1210147,11917,0,0.0,,,
中国,128445,0,119488,5697,0,10282.0,,,
湖北,68311,0,63799,4512,0,0.0,,,
武汉,50380,0,46511,3869,0,,,,
孝感,3518,0,3389,129,0,,,,
黄冈,2912,0,2787,125,0,,,,
荆州,1582,0,1530,52,0,,,,
鄂州,1395,0,1336,59,0,,,,
随州,1307,0,1262,45,0,,,,
襄阳,1175,0,1135,40,0,,,,
黄石,1015,0,976,39,0,,,,
荆门,971,0,930,41,0,,,,
宜昌,931,0,894,37,0,,,,
咸宁,836,0,821,15,0,,,,
十堰,672,0,664,8,0,,,,
仙桃,575,0,553,22,0,,,,
天门,498,0,483,15,0,,,,
恩施州,252,0,245,7,0,,,,
潜江,198,0,189,9,0,,,,
境外输入,83,0,83,0,0,,,,
神农架,11,0,11,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
监狱系统,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
神农架林区,0,0,0,0,0,,,,
台湾,16662,0,13742,848,0,0.0,,,
未明确地区,16662,0,13742,848,0,,,,
香港,12466,0,12151,213,0,0.0,,,
未明确地区,12466,0,12151,213,0,,,,
广东,3324,0,3260,8,0,0.0,,,
境外输入,1756,0,1701,0,0,,,,
广州,524,0,522,1,0,,,,
深圳,431,0,428,3,0,,,,
东莞,102,0,101,1,0,,,,
佛山,101,0,101,0,0,,,,
珠海,98,0,97,1,0,,,,
中山,68,0,67,0,0,,,,
惠州,62,0,62,0,0,,,,
汕头,25,0,25,0,0,,,,
湛江,23,0,23,0,0,,,,
江门,23,0,23,0,0,,,,
肇庆,19,0,18,1,0,,,,
梅州,16,0,16,0,0,,,,
阳江,14,0,14,0,0,,,,
茂名,14,0,14,0,0,,,,
清远,12,0,12,0,0,,,,
韶关,10,0,9,1,0,,,,
揭阳,10,0,10,0,0,,,,
汕尾,6,0,6,0,0,,,,
河源,5,0,5,0,0,,,,
潮州,5,0,5,0,0,,,,
云浮,0,0,0,0,0,,,,
未明确地区,0,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
上海,2882,0,2803,7,0,0.0,,,
境外输入,2496,0,2429,0,0,,,,
外地来沪,113,0,112,1,0,,,,
浦东,81,0,76,1,0,,,,
宝山,26,0,25,1,0,,,,
黄浦,22,0,22,0,0,,,,
闵行,19,0,19,0,0,,,,
徐汇,18,0,17,1,0,,,,
松江,16,0,16,0,0,,,,
静安,16,0,15,1,0,,,,
长宁,14,0,14,0,0,,,,
普陀,11,0,11,0,0,,,,
奉贤,9,0,9,0,0,,,,
嘉定,9,0,7,2,0,,,,
杨浦,9,0,9,0,0,,,,
青浦,7,0,6,0,0,,,,
虹口,7,0,7,0,0,,,,
金山,4,0,4,0,0,,,,
崇明,4,0,4,0,0,,,,
境外来沪,1,0,1,0,0,,,,
待确认,0,0,2,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
浦东新区,0,0,0,0,0,,,,
闸北,0,0,0,0,0,,,,
黑龙江,2024,0,1977,13,0,0.0,,,
绥化,537,0,533,4,0,,,,
哈尔滨,536,0,500,4,0,,,,
境外输入,406,0,406,0,0,,,,
黑河,295,0,293,0,0,,,,
双鸭山,52,0,49,3,0,,,,
鸡西,46,0,46,0,0,,,,
齐齐哈尔,44,0,43,1,0,,,,
待确认,40,0,0,0,0,,,,
牡丹江,36,0,36,0,0,,,,
大庆,29,0,28,1,0,,,,
七台河,17,0,17,0,0,,,,
佳木斯,15,0,15,0,0,,,,
鹤岗,5,0,5,0,0,,,,
大兴安岭,3,0,3,0,0,,,,
未明确地区,2,0,2,0,0,,,,
伊春,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
云南,1742,0,1617,2,0,0.0,,,
境外输入,1288,0,1216,0,0,,,,
德宏州,285,0,234,0,0,,,,
昆明,53,0,53,0,0,,,,
昭通市,25,0,25,0,0,,,,
西双版纳州,15,0,14,1,0,,,,
玉溪,14,0,13,1,0,,,,
大理,13,0,13,0,0,,,,
曲靖,13,0,13,0,0,,,,
红河,9,0,9,0,0,,,,
保山市,9,0,9,0,0,,,,
丽江市,7,0,7,0,0,,,,
普洱,4,0,4,0,0,,,,
楚雄州,4,0,4,0,0,,,,
文山州,2,0,2,0,0,,,,
临沧,1,0,1,0,0,,,,
丽江,0,0,0,0,0,,,,
德宏,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
楚雄,0,0,0,0,0,,,,
迪庆藏族自治州,0,0,0,0,0,,,,
保山,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
怒江傈僳族自治州,0,0,0,0,0,,,,
西双版纳,0,0,0,0,0,,,,
昭通,0,0,0,0,0,,,,
河南,1637,0,1542,22,0,0.0,,,
郑州,349,0,290,5,0,,,,
信阳,274,0,272,2,0,,,,
南阳,156,0,153,3,0,,,,
驻马店,143,0,140,0,0,,,,
境外输入,125,0,115,0,0,,,,
商丘,107,0,101,3,0,,,,
周口,94,0,76,1,0,,,,
平顶山,58,0,57,1,0,,,,
新乡,57,0,54,3,0,,,,
安阳,54,0,53,0,0,,,,
许昌,40,0,38,1,0,,,,
漯河,36,0,36,0,0,,,,
开封,33,0,30,0,0,,,,
焦作,32,0,31,1,0,,,,
洛阳,31,0,30,1,0,,,,
鹤壁,19,0,19,0,0,,,,
濮阳,17,0,17,0,0,,,,
三门峡,7,0,6,1,0,,,,
济源示范区,5,0,5,0,0,,,,
济源,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,19,0,0,,,,
江苏,1619,0,1614,0,0,0.0,,,
扬州,593,0,593,0,0,,,,
南京,329,0,329,0,0,,,,
境外输入,164,0,159,0,0,,,,
苏州,87,0,87,0,0,,,,
徐州,79,0,79,0,0,,,,
淮安,78,0,78,0,0,,,,
无锡,55,0,55,0,0,,,,
常州,54,0,54,0,0,,,,
连云港,48,0,48,0,0,,,,
南通,40,0,40,0,0,,,,
泰州,37,0,37,0,0,,,,
盐城,27,0,27,0,0,,,,
宿迁,16,0,16,0,0,,,,
镇江,12,0,12,0,0,,,,
地区未确认,0,0,6,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
浙江,1501,0,1486,1,0,0.0,,,
温州,504,0,503,1,0,,,,
境外输入,281,0,268,0,0,,,,
杭州,182,0,181,0,0,,,,
宁波,157,0,157,0,0,,,,
台州,147,0,147,0,0,,,,
金华,55,0,55,0,0,,,,
嘉兴,46,0,46,0,0,,,,
绍兴,42,0,42,0,0,,,,
省十里丰监狱,36,0,36,0,0,,,,
丽水,17,0,17,0,0,,,,
衢州,14,0,14,0,0,,,,
湖州,10,0,10,0,0,,,,
舟山,10,0,10,0,0,,,,
境外输入人员,3,0,0,0,0,,,,
划归外省,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
河北,1458,0,1432,7,0,0.0,,,
石家庄,963,0,953,1,0,,,,
邢台,96,0,95,1,0,,,,
辛集市,71,0,58,0,0,,,,
唐山,58,0,57,1,0,,,,
保定,51,0,51,0,0,,,,
沧州,49,0,46,3,0,,,,
张家口,43,0,43,0,0,,,,
境外输入,37,0,37,0,0,,,,
廊坊,33,0,33,0,0,,,,
邯郸,32,0,32,0,0,,,,
地市待确认,20,0,0,0,0,,,,
秦皇岛,10,0,9,1,0,,,,
衡水,8,0,8,0,0,,,,
承德,7,0,7,0,0,,,,
未明确地区,0,0,3,0,0,,,,
地区待确诊,0,0,0,1,0,,,,
境外输入人员,0,0,0,0,0,,,,
待确认,0,0,1,0,0,,,,
地区待确定,0,0,15,0,0,,,,
福建,1323,0,1308,1,0,0.0,,,
境外输入,555,0,541,0,0,,,,
厦门,275,0,275,0,0,,,,
莆田,261,0,261,0,0,,,,
福州,72,0,71,1,0,,,,
泉州,71,0,71,0,0,,,,
宁德,26,0,26,0,0,,,,
漳州,23,0,23,0,0,,,,
南平,20,0,20,0,0,,,,
三明,14,0,14,0,0,,,,
龙岩,6,0,6,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
四川,1277,0,1253,3,0,0.0,,,
境外输入,688,0,672,0,0,,,,
成都,189,0,168,3,0,,,,
甘孜,78,0,78,0,0,,,,
达州,42,0,42,0,0,,,,
南充,39,0,39,0,0,,,,
广安,30,0,30,0,0,,,,
泸州,25,0,25,0,0,,,,
巴中,24,0,24,0,0,,,,
绵阳,23,0,23,0,0,,,,
内江,22,0,22,0,0,,,,
德阳,18,0,18,0,0,,,,
遂宁,17,0,17,0,0,,,,
攀枝花,16,0,16,0,0,,,,
凉山,13,0,13,0,0,,,,
宜宾,13,0,13,0,0,,,,
自贡,10,0,9,0,0,,,,
雅安,8,0,8,0,0,,,,
眉山,8,0,8,0,0,,,,
广元,6,0,6,0,0,,,,
资阳,4,0,4,0,0,,,,
乐山,3,0,3,0,0,,,,
阿坝,1,0,1,0,0,,,,
甘孜州,0,0,0,0,0,,,,
阿坝州,0,0,0,0,0,,,,
未明确地区,0,0,14,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
湖南,1199,0,1193,4,0,0.0,,,
长沙,247,0,245,2,0,,,,
岳阳,156,0,155,1,0,,,,
株洲,110,0,110,0,0,,,,
邵阳,102,0,101,1,0,,,,
常德,82,0,82,0,0,,,,
张家界,77,0,77,0,0,,,,
娄底,76,0,76,0,0,,,,
境外输入,67,0,65,0,0,,,,
益阳,63,0,63,0,0,,,,
衡阳,48,0,48,0,0,,,,
永州,44,0,44,0,0,,,,
怀化,40,0,40,0,0,,,,
郴州,39,0,39,0,0,,,,
湘潭,38,0,38,0,0,,,,
湘西自治州,10,0,10,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
北京,1194,0,1177,9,0,0.0,600.0,0.0,592.0
境外输入,309,0,260,0,0,,,,86.0
丰台,277,0,273,0,0,,234.0,0.0,230.0
大兴,134,0,134,0,0,,95.0,0.0,95.0
